Name,Liik,RunDate,Run,Class,SDI,SEI,AWMSI,MSI,MPAR,MPFD,ED,MPE,MPS,NumP,MedPS,PSCoV,TLA
80662_clip,rukkir‰‰k,16.01.2018 15:28:02,1,All,1.850,0.889,1.562,1.542,176.240,1.281,89.116,2799.470,31.414,10.000,23.578,82.803,314.139
79202_clip,rukkir‰‰k,16.01.2018 15:28:02,2,All,0.936,0.675,1.752,1.724,334.480,1.307,70.888,4454.041,62.832,5.000,66.056,56.717,314.159
79200_clip,rukkir‰‰k,16.01.2018 15:28:02,3,All,0.860,0.621,1.541,1.630,142.683,1.282,67.981,3559.491,52.360,6.000,38.030,86.933,314.159
78355_clip,rukkir‰‰k,16.01.2018 15:28:03,4,All,1.495,0.835,1.520,1.657,275.600,1.310,74.101,2909.832,39.268,8.000,21.056,106.491,314.148
78354_clip,rukkir‰‰k,16.01.2018 15:28:03,5,All,1.512,0.777,1.856,1.721,209.810,1.305,91.338,2869.440,31.416,10.000,12.886,126.807,314.156
77340_clip,rukkir‰‰k,16.01.2018 15:28:03,6,All,1.725,0.785,1.612,1.796,557.838,1.349,93.960,2270.582,24.165,13.000,8.825,115.645,314.150
73713_clip,rukkir‰‰k,16.01.2018 15:28:03,7,All,1.319,0.820,2.197,1.856,141.457,1.298,92.936,4170.936,44.880,7.000,20.930,107.395,314.159
73708_clip,rukkir‰‰k,16.01.2018 15:28:04,8,All,1.259,0.703,2.060,1.685,905.638,1.351,86.782,3407.935,39.270,8.000,22.043,115.587,314.159
67910_clip,rukkir‰‰k,16.01.2018 15:28:04,9,All,1.763,0.848,1.638,1.515,153.569,1.281,104.650,2528.880,24.165,13.000,20.436,77.969,314.147
64432_clip,rukkir‰‰k,16.01.2018 15:28:04,10,All,1.067,0.663,1.566,1.532,136.180,1.272,59.173,3717.490,62.824,5.000,32.007,112.659,314.121
64431_clip,rukkir‰‰k,16.01.2018 15:28:05,11,All,0.946,0.683,1.505,1.512,80.300,1.254,54.030,4242.980,78.530,4.000,33.764,103.093,314.122
64385_clip,rukkir‰‰k,16.01.2018 15:28:05,12,All,1.460,0.907,1.695,1.572,355.243,1.303,73.028,3277.100,44.875,7.000,37.428,90.288,314.122
